   ,CUSTOMER_CODE,ORDER_COUNT,SALES_VALUE_LAKHS
2339,000000009012056,739,3596.91
951,000000009005215,725,90306.44
948,000000009008597,688,67022.9
2357,000000009000055,686,42285.46
2821,000000009002340,684,49346.85
1918,000000009000293,673,43268.22
11,000000009001136,657,51574.93
1920,000000009000018,656,49463.39
1466,000000009003128,638,28519.95
2877,000000009011400,631,113882.32
475,000000009002301,628,33321.12
2350,000000009000013,602,27168.16
2358,000000009002152,601,35148.84
2355,000000009002352,597,25420.19
2,000000009001332,587,60755.44
1424,000000009004400,581,8674.75
999,000000009002765,581,18982.82
474,000000009002353,572,304.9
2828,000000009001628,569,21443.85
2356,000000009008410,568,16075.2
3382,000000009013710,563,851.62
1437,000000009002779,555,17081.01
1874,000000009001508,554,49784.66
950,000000009000014,546,24599.3
18,000000009007830,544,16631.95
494,000000009000893,534,17102.83
1436,000000009000992,533,32464.26
2825,000000009002235,531,21266.89
1875,000000009005265,529,13134.51
505,000000009004805,523,30657.46
2826,000000009002294,522,18569.17
3316,000000009002759,515,18023.94
2837,000000009010335,512,10437.32
3307,000000009000972,510,752.99
2830,000000009002241,504,32187.23
1449,000000009002386,501,21915.19
2870,000000009011404,493,13522.01
991,000000009004732,491,11933.57
2926,000000009004601,486,7001.74
2389,000000009000902,484,22651.67
3358,000000009000753,474,21319
2385,000000009000308,473,14000.84
1432,000000009002527,471,31856.74
3309,000000009008401,471,9189.38
559,000000009002064,464,41413.29
973,000000009004960,463,18989.88
25,000000009000911,454,7127.99
989,000000009000573,447,7048.13
521,000000009001706,447,23471.11
497,000000009002287,445,12433.14
2852,000000009012290,444,7198.61
491,000000009009391,434,9632.88
2841,000000009001229,430,10760.97
1434,000000009001589,429,7237.49
2894,000000009001944,428,17247.75
2396,000000009002342,428,594.03
2857,000000009011064,427,12206.89
1427,000000009002504,424,3843.02
1873,000000009002267,423,6481.78
982,000000009011473,423,13350.85
2353,000000009001527,417,7540.44
486,000000009000248,416,24443.78
1926,000000009013395,407,17632.11
965,000000009005381,406,13707.93
3331,000000009000364,405,12554.85
1034,000000009002164,400,28164.82
483,000000009004438,400,20962.77
3325,000000009002289,399,11227.42
3353,000000009002383,398,9966.6
10,000000009012755,398,7600.42
3328,000000009011061,397,22651.07
985,000000009002767,396,2731.79
1,000000009001148,394,9039.23
2915,000000009013481,391,500.22
1904,000000009001476,390,18742.77
2820,000000009000606,390,820.63
2839,000000009009399,389,7749.31
1883,000000009000740,388,17157.36
2359,000000009001692,383,6377.73
2352,000000009002374,380,9316.23
2849,000000009010519,379,7886.17
969,000000009005177,377,14428.16
3369,000000009000534,377,2980.91
952,000000009001031,377,14633.19
957,000000009011391,375,11640.87
1441,000000009001769,373,22163.54
3319,000000009001526,369,6076.38
2364,000000009001830,369,16488.58
983,000000009001143,368,11444.49
1932,000000009001069,367,9205.45
1931,000000009001472,367,4458.5
2938,000000009004895,367,7804.87
495,000000009006368,365,11905.27
2360,000000009005321,363,14914.6
2890,000000009013327,359,8726.53
3340,000000009004552,358,11781.27
476,000000009011393,349,11155.19
3346,000000009001073,348,29468.59
2341,000000009000498,348,24786.67
1908,000000009000837,345,8022.95
37,000000009012613,345,4182.64
490,000000009002306,343,6763.07
990,000000009000072,343,4586.91
2371,000000009002216,342,3196.83
2866,000000009000033,342,3499.21
3368,000000009000167,338,4398.17
1430,000000009002307,338,2492.37
47,000000009013291,336,4253.51
3370,000000009008371,334,5859.04
3342,000000009013324,331,7483.74
949,000000009002771,328,324.23
998,000000009005067,327,3242.67
2850,000000009001442,326,10705.91
1961,000000009011477,324,6522.85
3361,000000009007842,324,6136.65
1957,000000009001639,323,18839.4
504,000000009001734,320,3745.3
3381,000000009002104,319,19814.82
2343,000000009000883,318,8054
2968,000000009015316,317,4302.87
3312,000000009001533,316,5061
987,000000009002838,316,459.69
478,000000009001191,314,10501.49
2411,000000009004913,313,30576.04
958,000000009001186,313,12455.26
1940,000000009000147,313,8168.01
2859,000000009002586,311,5384.81
2438,000000009000354,310,5323.05
1038,000000009013328,310,8126.16
4,000000009007836,304,4671.96
3383,000000009007901,302,13402.11
21,000000009000816,301,5510.45
3366,000000009009890,301,1468.49
1435,000000009009723,299,17284.1
587,000000009007806,297,19491.29
2827,000000009001682,297,536.09
523,000000009002136,296,15597.53
2860,000000009010933,296,3165.73
481,000000009002351,295,45.08
1439,000000009002510,294,12123.19
2432,000000009002381,292,5769.74
2879,000000009001259,288,7237.84
3327,000000009002413,288,5733.24
977,000000009002322,286,535.85
1450,000000009000065,282,13019.01
20,000000009011694,281,5371.75
3315,000000009007898,280,2656.64
52,000000009004674,280,2908.26
3385,000000009011010,279,8165.32
2889,000000009000158,277,2862.87
1002,000000009001689,275,3594.49
499,000000009004740,274,4116.01
12,000000009004626,272,6307.14
557,000000009002039,270,5269.86
1019,000000009004309,267,2555.24
537,000000009006235,266,5182.88
1911,000000009000036,262,2198.1
1872,000000009004771,262,177.05
24,000000009002464,261,4658.17
528,000000009011464,259,4925.04
105,000000009013456,259,1708.21
2891,000000009001547,256,21903.33
3332,000000009004639,254,4095.73
2370,000000009001364,253,2852.59
1963,000000009001877,253,6048.69
3352,000000009002282,253,387.57
995,000000009001449,252,4823.1
487,000000009011430,251,3578.67
1891,000000009002412,251,5031.71
560,000000009000579,249,127.14
1922,000000009000768,248,12283.72
2354,000000009000376,246,3015.65
3394,000000009013854,245,192.37
2876,000000009001529,243,1373.41
2922,000000009002494,242,1641.65
532,000000009013434,242,4253.22
3317,000000009001583,242,10235.58
1442,000000009013229,241,3406.42
3397,000000009002220,241,6550.41
59,000000009000095,241,2027.44
485,000000009001855,239,12185.36
